Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-11-14T00:02:59Z,"0002cc0100000ecc","36546000b3f93ce20a156969fb000000000000000000ffffde20ff7efffffef6",2,3.81,,10,21.41,41.40,,0.00,,0,0,0,0,,,,-0.87,-1.00,-0.94,-0.05,-1.00
2024-11-14T00:08:55Z,"0002cc0100000ecc","3654600217f93ce20a156c6901000000000000000000ff4efe20fc1bfdeefe7b",2,3.81,,10,21.42,41.02,,0.00,,0,0,0,0,,,,-0.81,-0.74,-0.51,-0.77,-0.91
2024-11-14T00:14:51Z,"0002cc0100000ecc","365460037bf93ce20a1574689c000000000000000000ffffffffffffffffffffffff",2,3.81,,10,21.45,40.86,,0.00,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-14T00:20:47Z,"0002cc0100000ecc","36546004dff93cea0a157168ae000000000000000000ffffffffee076e645eac",2,3.81,,10,21.44,40.89,,0.00,,0,0,0,0,,,,0.05,0.20,-0.19,-1.00,-1.00
2024-11-14T00:26:43Z,"0002cc0100000ecc","3654600643f93ce20a15746865000000000000000000ffffffffffffffffffff",2,3.81,,10,21.45,40.78,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-14T00:32:39Z,"0002cc0100000ecc","36546007a7f93ce20a157468b0392ed0000000000000ffffffffffffffffffffdce0",2,3.81,,10,21.45,40.89,,0.02,,0,0,0,0,,,-0.04,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-14T00:38:36Z,"0002cc0100000ecc","365460090cf93ce20a15776881000000000000000000ec31ffffffffffffffff",2,3.81,,10,21.46,40.82,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-0.13
2024-11-14T00:44:32Z,"0002cc0100000ecc","3654600a70f93ce20a1571683e0000000000000000007543fd3affffffffffff",2,3.81,,10,21.44,40.72,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-0.65,0.33
2024-11-14T00:50:28Z,"0002cc0100000ecc","3654600bd4f93cda0a157167f4000000000000000000ffffffffffffffffffff",2,3.80,,10,21.44,40.61,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-14T00:56:24Z,"0002cc0100000ecc","3654600d38d93cee0a156968a4000000000000ffffffffffffffff6f6c",2,3.81,,10,21.41,40.88,,,,0,0,0,0,,,,0.23,-1.00,-1.00,-1.00,-1.00
2024-11-14T01:02:20Z,"0002cc0100000ecc","3654600e9cf93cda0a156c680e0000000000000000006c82ec776dc16df5f67e",2,3.80,,10,21.42,40.65,,0.00,,0,0,0,0,,,,-0.41,0.19,0.18,-0.14,0.14
2024-11-14T01:08:16Z,"0002cc0100000ecc","3654601000f93ce20a156667fa000000000000000000fffffffffffffcc074e6",2,3.81,,10,21.40,40.62,,0.00,,0,0,0,0,,,,0.31,-0.59,-1.00,-1.00,-1.00
2024-11-14T01:14:12Z,"0002cc0100000ecc","3654601164f93ce20a1554677c000000000000000000ffffffffffffffffffff",2,3.81,,10,21.33,40.42,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-14T01:20:08Z,"0002cc0100000ecc","36546012c8f93ce20a155767be000000000000000000ffffff11fee177dc67f2",2,3.81,,10,21.34,40.52,,0.00,,0,0,0,0,,,,0.12,0.49,-0.86,-0.88,-1.00
2024-11-14T01:26:04Z,"0002cc0100000ecc","365460142cf93ce20a15496749000000000000000000ffffffffffffffffffff",2,3.81,,10,21.28,40.35,,0.00,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-11-14T01:32:00Z,"0002cc0100000ecc","3654601590f93cda0a154667f1000000000000000000fffffffffff6fd65fe9afdd2",2,3.80,,10,21.27,40.60,,0.00,,0,0,0,0,,,-0.73,-0.83,-0.67,-0.99,-1.00,-1.00
